subject,predicate,object,confidence
high_cholesterol,risk_factor_of,dementia,0.98
obesity,risk_factor_of,dementia,0.98
key_modifiable_risk_factors,risk_factor_of,dementia,0.98
potentially_modifiable_dementia_risk_factors,risk_factor_of,dementia,0.97
alcohol_and_smoking,risk_factor_of,dementia,0.97
ppi,risk_factor_of,dementia,0.97
modifiable_dementia_risk_factors,risk_factor_of,dementia,0.97
kidney_disease,risk_factor_of,dementia,0.97
cardiovascular_and_metabolic_disease,risk_factor_of,dementia,0.97
age_at_dementia_diagnosis,risk_factor_of,dementia,0.97
myocardial_infarction,risk_factor_of,dementia,0.97
loneliness,risk_factor_of,dementia,0.97
new_dementia_risk_factors,risk_factor_of,dementia,0.97
use_of_hypertensive_medications,risk_factor_of,dementia,0.97
low_education,risk_factor_of,dementia,0.97
younger_age,risk_factor_of,dementia,0.96
sex,risk_factor_of,dementia,0.96
genetic_background,risk_factor_of,dementia,0.96
risk_factors,risk_factor_of,dementia,0.96
mid-life_risk,risk_factor_of,dementia,0.96
health_insurance,risk_factor_of,dementia,0.96
metabolic_disease,risk_factor_of,dementia,0.96
aging,risk_factor_of,dementia,0.96
social_isolation,risk_factor_of,dementia,0.96
tbi,risk_factor_of,dementia,0.96
cvd,risk_factor_of,dementia,0.96
age,risk_factor_of,dementia,0.96
lifestyle_factors,risk_factor_of,dementia,0.95
hypertension,risk_factor_of,dementia,0.95
genetic_predisposition,risk_factor_of,dementia,0.95
education_level,risk_factor_of,dementia,0.95
less_education,risk_factor_of,dementia,0.95
"depression,_social_isolation",risk_factor_of,dementia,0.95
racial_factor,risk_factor_of,dementia,0.95
established_dementia_risk_factors,risk_factor_of,dementia,0.95
total_household_income,risk_factor_of,dementia,0.95
geographic_location,risk_factor_of,dementia,0.95
ageing,risk_factor_of,dementia,0.95
unhealthy_sleep_duration,risk_factor_of,dementia,0.95
social_disadvantage,risk_factor_of,dementia,0.95
traumatic_brain_injury,risk_factor_of,dementia,0.95
risk_for_dementia,risk_factor_of,dementia,0.95
excessive_alcohol_consumption,risk_factor_of,dementia,0.95
education,risk_factor_of,dementia,0.94
diabetes,risk_factor_of,dementia,0.94
low_socioeconomic_status,risk_factor_of,dementia,0.94
major_risk_factor,risk_factor_of,dementia,0.94
heart_problems,risk_factor_of,dementia,0.94
racial_disparities,risk_factor_of,dementia,0.94
restrictive_lung_function,risk_factor_of,dementia,0.94
employment,risk_factor_of,dementia,0.93
potentially_modifiable_risk_factors,risk_factor_of,dementia,0.93
heart_attack,risk_factor_of,dementia,0.93
modifiable_factors,risk_factor_of,dementia,0.93
body_mass_index,risk_factor_of,dementia,0.93
particularly_stable_risk_factors,risk_factor_of,dementia,0.93
physical_inactivity,risk_factor_of,dementia,0.93
occupation,risk_factor_of,dementia,0.93
apolipoprotein_a,risk_factor_of,dementia,0.93
stable_risk_factors,risk_factor_of,dementia,0.93
diabetes_mellitus,risk_factor_of,dementia,0.93
cisgender_men,risk_factor_of,dementia,0.92
modifiable_risk_factors,risk_factor_of,dementia,0.92
alcohol_consumption,risk_factor_of,dementia,0.92
cumulative_educational_attainment,risk_factor_of,dementia,0.92
dementia_risk_factor_interaction,risk_factor_of,dementia,0.92
genetics,risk_factor_of,dementia,0.92
same_risks,risk_factor_of,dementia,0.92
smoking_status,risk_factor_of,dementia,0.92
poor_diet,risk_factor_of,dementia,0.92
important_risk_factors,risk_factor_of,dementia,0.92
stroke,risk_factor_of,dementia,0.92
alcohol,risk_factor_of,dementia,0.91
family_history_of_dementia,risk_factor_of,dementia,0.91
risk_factors_for_dementia,risk_factor_of,dementia,0.91
ultra-processed_foods,risk_factor_of,dementia,0.91
medical_history,risk_factor_of,dementia,0.91
neuropsychiatric_conditions,risk_factor_of,dementia,0.91
age_at_dementia_onset,risk_factor_of,dementia,0.91
cardiovascular_risk_factors,risk_factor_of,dementia,0.91
depressive_symptoms,risk_factor_of,dementia,0.91
strokes,risk_factor_of,dementia,0.91
genotypes,risk_factor_of,dementia,0.91
specific_risk_factor,risk_factor_of,dementia,0.91
household_income,risk_factor_of,dementia,0.91
relative_risk,risk_factor_of,dementia,0.91
excessive_or_harmful_alcohol_use,risk_factor_of,dementia,0.9
risk_factors_of_dementia,risk_factor_of,dementia,0.9
specific_modifiable_risk_factors,risk_factor_of,dementia,0.9
early_cognitive_changes,risk_factor_of,dementia,0.9
social_determinant,risk_factor_of,dementia,0.9
ten_risk_factors,risk_factor_of,dementia,0.9
low_ses,risk_factor_of,dementia,0.9
limited_mobility,risk_factor_of,dementia,0.9
hand_grip_strength,risk_factor_of,dementia,0.9
higher_dementia_genetic_risk,risk_factor_of,dementia,0.9
race,risk_factor_of,dementia,0.9
higher_risk_of_developing_dementia,risk_factor_of,dementia,0.9
older_age,risk_factor_of,dementia,0.9
immediate_high_risk_of_dementia_risk,risk_factor_of,dementia,0.9
immediate_high_risk,risk_factor_of,dementia,0.9
high_blood_pressure,risk_factor_of,dementia,0.9
lifestyle-related,risk_factor_of,dementia,0.89
geographical_differences,risk_factor_of,dementia,0.89
systolic_blood_pressure,risk_factor_of,dementia,0.89
residence,risk_factor_of,dementia,0.89
socioeconomic,risk_factor_of,dementia,0.89
bmi,risk_factor_of,dementia,0.89
physical_activity,risk_factor_of,dementia,0.89
stress-related_disorder,risk_factor_of,dementia,0.89
alcohol_intake_status,risk_factor_of,dementia,0.88
predictors,risk_factor_of,dementia,0.88
those_at_risk_for_dementia,risk_factor_of,dementia,0.88
disease_susceptibility,risk_factor_of,dementia,0.88
high_risk,risk_factor_of,dementia,0.88
lifestyle,risk_factor_of,dementia,0.88
diseases,risk_factor_of,dementia,0.88
social_determinants_of_health,risk_factor_of,dementia,0.88
lifestyles,risk_factor_of,dementia,0.88
osa,risk_factor_of,dementia,0.87
nine_risk_factors,risk_factor_of,dementia,0.87
low_cognitive_function,risk_factor_of,dementia,0.87
history_of_stroke,risk_factor_of,dementia,0.87
risk_factors_for_the_disease,risk_factor_of,dementia,0.87
serum_hdl_cholesterol,risk_factor_of,dementia,0.87
addiction_to_drugs,risk_factor_of,dementia,0.87
poor_psychiatric_state,risk_factor_of,dementia,0.87
lifestyle_groups,risk_factor_of,dementia,0.87
environmental_experiences,risk_factor_of,dementia,0.87
lack_of_social_health,risk_factor_of,dementia,0.87
"modifiable_dementia_risk_factors,_considering_the_influence_of_sex",risk_factor_of,dementia,0.87
each_risk_factor,risk_factor_of,dementia,0.87
stressful_life_events,risk_factor_of,dementia,0.87
pifs,risk_factor_of,dementia,0.87
frailty,risk_factor_of,dementia,0.87
need_for_financial_or_medical_assistance,risk_factor_of,dementia,0.86
other_health-related_risk_factors,risk_factor_of,dementia,0.86
other_cognitively_stimulating_activities,risk_factor_of,dementia,0.86
female_sex,risk_factor_of,dementia,0.86
high_prs,risk_factor_of,dementia,0.86
cognitive_changes,risk_factor_of,dementia,0.86
dementia_risk_factors,risk_factor_of,dementia,0.86
ses,risk_factor_of,dementia,0.86
higher_risk_for_dementia,risk_factor_of,dementia,0.86
previously_known_risk_factors,risk_factor_of,dementia,0.86
selfreported_racial_background,risk_factor_of,dementia,0.86
few_years_of_education,risk_factor_of,dementia,0.86
able_to_confide,risk_factor_of,dementia,0.86
insufficient_care,risk_factor_of,dementia,0.86
increased_alcohol_consumption,risk_factor_of,dementia,0.86
midlife_hearing_loss,risk_factor_of,dementia,0.86
health-related_confounders,risk_factor_of,dementia,0.86
high_dementia_risk,risk_factor_of,dementia,0.86
exposures,risk_factor_of,dementia,0.86
pregnancy,risk_factor_of,dementia,0.86
established_risk_factors,risk_factor_of,dementia,0.86
higher_risk,risk_factor_of,dementia,0.86
risk_factor_variables,risk_factor_of,dementia,0.86
other_health_conditions,risk_factor_of,dementia,0.86
cultural,risk_factor_of,dementia,0.86
health-related_risk_factors,risk_factor_of,dementia,0.86
lung_function_impairment,risk_factor_of,dementia,0.86
total_household_income_and_health_insurance,risk_factor_of,dementia,0.85
genetic_risk,risk_factor_of,dementia,0.85
dementia_risk,risk_factor_of,dementia,0.85
healthcare_accessibility,risk_factor_of,dementia,0.85
related_factors,risk_factor_of,dementia,0.85
racial_bias,risk_factor_of,dementia,0.85
normal_spirometry,risk_factor_of,dementia,0.85
income,risk_factor_of,dementia,0.85
use_of_proton-pump_inhibitors,risk_factor_of,dementia,0.85
diagnoses,risk_factor_of,dementia,0.85
potentially_modifiable_risks,risk_factor_of,dementia,0.85
compulsory_factors,risk_factor_of,dementia,0.85
socioeconomic_differences,risk_factor_of,dementia,0.85
various_lifestyle_factors,risk_factor_of,dementia,0.85
use_of_proton-pump_inhibitors_or_benzodiazepines,risk_factor_of,dementia,0.85
specific_psychosocial_patterns,risk_factor_of,dementia,0.84
abstinence,risk_factor_of,dementia,0.84
feelings_of_loneliness,risk_factor_of,dementia,0.84
excessive_consumption,risk_factor_of,dementia,0.84
inactivity,risk_factor_of,dementia,0.84
light_to_moderate_alcohol_consumption,risk_factor_of,dementia,0.84
medication,risk_factor_of,dementia,0.84
tobacco_smoking,risk_factor_of,dementia,0.84
biomedical,risk_factor_of,dementia,0.84
education_levels,risk_factor_of,dementia,0.84
"able_to_confide,_hand_grip_strength",risk_factor_of,dementia,0.83
six_risk_factors,risk_factor_of,dementia,0.83
body_fat_percentage,risk_factor_of,dementia,0.83
new_risk_factors,risk_factor_of,dementia,0.83
alcohol_drinking,risk_factor_of,dementia,0.83
comorbidities,risk_factor_of,dementia,0.83
environmental_risk_factor,risk_factor_of,dementia,0.83
competing_risk,risk_factor_of,dementia,0.83
physical,risk_factor_of,dementia,0.83
prior_alcohol_consumption,risk_factor_of,dementia,0.83
high_risk_of_dementia,risk_factor_of,dementia,0.83
mid-life_risk_of_dementia,risk_factor_of,dementia,0.83
low_educational_attainment,risk_factor_of,dementia,0.83
economic,risk_factor_of,dementia,0.83
additional_cognitive_domain,risk_factor_of,dementia,0.83
modifiable_risk,risk_factor_of,dementia,0.83
long-term_morbidities,risk_factor_of,dementia,0.83
paf,risk_factor_of,dementia,0.83
traumatic_experiences,risk_factor_of,dementia,0.83
menopause,risk_factor_of,dementia,0.82
non-exposed,risk_factor_of,dementia,0.82
other_factors,risk_factor_of,dementia,0.82
intermediate,risk_factor_of,dementia,0.82
new-onset_dementia_risk_factors,risk_factor_of,dementia,0.82
disparities,risk_factor_of,dementia,0.82
nfl,risk_factor_of,dementia,0.82
hypothesized_factors,risk_factor_of,dementia,0.82
"age,_sex",risk_factor_of,dementia,0.82
seven_modifiable_risk_factors,risk_factor_of,dementia,0.82
cultural_factors,risk_factor_of,dementia,0.82
other_compulsory_factors,risk_factor_of,dementia,0.82
serum_total_cholesterol,risk_factor_of,dementia,0.82
allelic_status,risk_factor_of,dementia,0.82
less_comorbidities,risk_factor_of,dementia,0.82
slow_walking_speed,risk_factor_of,dementia,0.82
healthy_lifestyle,risk_factor_of,dementia,0.82
main_risk_factor,risk_factor_of,dementia,0.82
low_physical_activity,risk_factor_of,dementia,0.82
reproductive,risk_factor_of,dementia,0.82
alcohol_intake,risk_factor_of,dementia,0.82
cognitively_stimulating_activities,risk_factor_of,dementia,0.81
female,risk_factor_of,dementia,0.81
psychosocial_adversity,risk_factor_of,dementia,0.81
unhealthy_lifestyle,risk_factor_of,dementia,0.81
cardiovascular_disease,risk_factor_of,dementia,0.81
gfap,risk_factor_of,dementia,0.81
prs,risk_factor_of,dementia,0.81
associated_with,risk_factor_of,dementia,0.81
psychosocial_state,risk_factor_of,dementia,0.81
systemic_racial_bias,risk_factor_of,dementia,0.81
known_or_suspected_osa,risk_factor_of,dementia,0.81
sleep_disturbances,risk_factor_of,dementia,0.81
multiple_risk_factors,risk_factor_of,dementia,0.81
social_isolation_was_higher_in_men,risk_factor_of,dementia,0.81
poor_sleep_health,risk_factor_of,dementia,0.81
higher_peripheral_gfap,risk_factor_of,dementia,0.81
ethnic,risk_factor_of,dementia,0.81
confounders,risk_factor_of,dementia,0.8
modifiable_risk_factor,risk_factor_of,dementia,0.8
risk_factor_modification,risk_factor_of,dementia,0.8
depressive_states,risk_factor_of,dementia,0.8
stress,risk_factor_of,dementia,0.8
healthier,risk_factor_of,dementia,0.8
educational_attainment,risk_factor_of,dementia,0.8
living_alone,risk_factor_of,dementia,0.8
different_genetic_risks,risk_factor_of,dementia,0.8
educational,risk_factor_of,dementia,0.8
race/ethnicity,risk_factor_of,dementia,0.8
extremely_poor_psychological_state,risk_factor_of,dementia,0.8
health_conditions,risk_factor_of,dementia,0.8
high_genetic_risk,risk_factor_of,dementia,0.8
early-life_sociological_and_developmental_factors,risk_factor_of,dementia,0.8
racial,risk_factor_of,dementia,0.79
ethnicity,risk_factor_of,dementia,0.79
more_often_female,risk_factor_of,dementia,0.79
genetic_risks,risk_factor_of,dementia,0.79
diet_variation,risk_factor_of,dementia,0.79
main_adulthood_occupation,risk_factor_of,dementia,0.79
systemic_racial_bias_in_healthcare,risk_factor_of,dementia,0.79
exercise,risk_factor_of,dementia,0.79
essential_modifiable_risk_factor,risk_factor_of,dementia,0.79
use,risk_factor_of,dementia,0.79
contribution,risk_factor_of,dementia,0.79
these_risk_factors,risk_factor_of,dementia,0.79
financial_or_medical_assistance,risk_factor_of,dementia,0.79
risk_reduction,risk_factor_of,dementia,0.79
ppi_use,risk_factor_of,dementia,0.79
collective_modifiable_factors,risk_factor_of,dementia,0.78
risk_of,risk_factor_of,dementia,0.78
schooling,risk_factor_of,dementia,0.78
dementia_subtypes,risk_factor_of,dementia,0.78
long-term_dependence,risk_factor_of,dementia,0.78
key_factors,risk_factor_of,dementia,0.78
diagnoses_of_arterial_hypertension,risk_factor_of,dementia,0.78
use_of_antihypertensive_agents,risk_factor_of,dementia,0.78
alzheimer_s_disease,risk_factor_of,dementia,0.78
socio-demographic,risk_factor_of,dementia,0.78
risk_profiles,risk_factor_of,dementia,0.78
peaking_expiratory_flow,risk_factor_of,dementia,0.78
modifiable_dementia_risk,risk_factor_of,dementia,0.78
potentially_mrfs,risk_factor_of,dementia,0.78
potential_contributor,risk_factor_of,dementia,0.78
language,risk_factor_of,dementia,0.78
higher_risk_of_dementia,risk_factor_of,dementia,0.78
mrf_paf,risk_factor_of,dementia,0.78
social_systems,risk_factor_of,dementia,0.78
socioeconomic_status,risk_factor_of,dementia,0.78
mci,risk_factor_of,dementia,0.78
variables_reflecting_aging,risk_factor_of,dementia,0.78
cachaça,risk_factor_of,dementia,0.78
social_support,risk_factor_of,dementia,0.78
nine_risk_factors_for_dementia,risk_factor_of,dementia,0.78
environment,risk_factor_of,dementia,0.78
different_hypothesized_factors,risk_factor_of,dementia,0.78
higher_intake_of_alcohol_and_dementia,risk_factor_of,dementia,0.78
short_education_years,risk_factor_of,dementia,0.78
psychosocial_patterns,risk_factor_of,dementia,0.78
psychosocial_factors,risk_factor_of,dementia,0.78
age_at_diagnosis,risk_factor_of,dementia,0.78
exhaustion,risk_factor_of,dementia,0.78
first_dementia_diagnosis,risk_factor_of,dementia,0.78
physical_exercise,risk_factor_of,dementia,0.78
risk_factor_exposure,risk_factor_of,dementia,0.77
risk_determinants,risk_factor_of,dementia,0.77
risk_of_dementia,risk_factor_of,dementia,0.77
common_risk_factors,risk_factor_of,dementia,0.77
limited_education,risk_factor_of,dementia,0.77
non-frailty,risk_factor_of,dementia,0.77
elevated_risk,risk_factor_of,dementia,0.77
socioeconomic_deprivation,risk_factor_of,dementia,0.77
associated_risks,risk_factor_of,dementia,0.77
competing_risk_of_death,risk_factor_of,dementia,0.77
sociological_and_developmental_factors,risk_factor_of,dementia,0.77
aβ-amyloid_plaques,risk_factor_of,dementia,0.77
pathologic_tau,risk_factor_of,dementia,0.77
higher_peripheral_gfap_and_nfl_levels,risk_factor_of,dementia,0.77
frequency_of_garden_work,risk_factor_of,dementia,0.77
unpaid,risk_factor_of,dementia,0.77
elevated_gfap,risk_factor_of,dementia,0.77
having_few_years_of_education,risk_factor_of,dementia,0.77
prefrailty,risk_factor_of,dementia,0.76
low_social_contact,risk_factor_of,dementia,0.76
dementia_modifiable_risk_factors,risk_factor_of,dementia,0.76
potential_augmentation,risk_factor_of,dementia,0.76
genetic_factors,risk_factor_of,dementia,0.76
sociocultural,risk_factor_of,dementia,0.76
risk_for_conversion_to_dementia,risk_factor_of,dementia,0.76
mrfs,risk_factor_of,dementia,0.76
abstention,risk_factor_of,dementia,0.76
developmental_factors,risk_factor_of,dementia,0.76
most_at_risk,risk_factor_of,dementia,0.76
excessive_consumption_or_abstention,risk_factor_of,dementia,0.76
all_six_risk_factors,risk_factor_of,dementia,0.76
use_of_medications,risk_factor_of,dementia,0.75
each_factor,risk_factor_of,dementia,0.75
geopolitical,risk_factor_of,dementia,0.75
"diabetes,_and_social_isolation_was_higher_in_men",risk_factor_of,dementia,0.75
distinct_psychosocial_patterns,risk_factor_of,dementia,0.75
low_education_levels,risk_factor_of,dementia,0.75
date_of_first_dementia_diagnosis,risk_factor_of,dementia,0.75
emerging_potential_contributor,risk_factor_of,dementia,0.75
environmental_experiences_and_exposures,risk_factor_of,dementia,0.75
greater_social_connections,risk_factor_of,dementia,0.75
time_to_diagnosis,risk_factor_of,dementia,0.75
risk_genes,risk_factor_of,dementia,0.75
gender-adjusted,risk_factor_of,dementia,0.75
unmeasured_factors,risk_factor_of,dementia,0.75
higher_bmi,risk_factor_of,dementia,0.75
probable_dementia,risk_factor_of,dementia,0.75
modifiable_risk_factors_for_dementia,risk_factor_of,dementia,0.75
alcohol_levels,risk_factor_of,dementia,0.75
socioeconomic_state,risk_factor_of,dementia,0.75
inherited_risk_genes,risk_factor_of,dementia,0.74
other_risk_factors,risk_factor_of,dementia,0.74
socially_isolated,risk_factor_of,dementia,0.74
high_ses,risk_factor_of,dementia,0.74
apolipoprotein_e_allele,risk_factor_of,dementia,0.74
low_social_contact_or_socioeconomic_state,risk_factor_of,dementia,0.74
cumulative_use,risk_factor_of,dementia,0.74
dementia_genetic_predisposition,risk_factor_of,dementia,0.74
frequently_overlooked_risk_factor,risk_factor_of,dementia,0.74
low-,risk_factor_of,dementia,0.74
disparities_in_dementia_risk,risk_factor_of,dementia,0.74
lipid-modifying_agents,risk_factor_of,dementia,0.73
disparities_in_social_determinants_of_health,risk_factor_of,dementia,0.73
median_age,risk_factor_of,dementia,0.73
social_connections,risk_factor_of,dementia,0.73
increased_risks,risk_factor_of,dementia,0.73
garden_work,risk_factor_of,dementia,0.73
rfs,risk_factor_of,dementia,0.73
area-level_ses,risk_factor_of,dementia,0.73
exposures_of_interest,risk_factor_of,dementia,0.73
high-risk_groups,risk_factor_of,dementia,0.73
underlying_genetic_factors,risk_factor_of,dementia,0.73
age_on_index_date,risk_factor_of,dementia,0.73
greater_risk_factor_exposure,risk_factor_of,dementia,0.73
geopolitical_diversity,risk_factor_of,dementia,0.73
years_of_education,risk_factor_of,dementia,0.73
cognitively_stimulating_leisure_time_activities,risk_factor_of,dementia,0.73
pafs,risk_factor_of,dementia,0.73
leisure_time_physical_activity,risk_factor_of,dementia,0.73
