subject,predicate,object,confidence,category
"depression,_social_isolation",risk_factor_of,dementia,0.95,3
racial_factor,risk_factor_of,dementia,0.95,6
established_dementia_risk_factors,risk_factor_of,dementia,0.95,5
total_household_income,risk_factor_of,dementia,0.95,6
geographic_location,risk_factor_of,dementia,0.95,6
ageing,risk_factor_of,dementia,0.95,7
unhealthy_sleep_duration,risk_factor_of,dementia,0.95,6
social_disadvantage,risk_factor_of,dementia,0.95,6
traumatic_brain_injury,risk_factor_of,dementia,0.95,2
risk_for_dementia,risk_factor_of,dementia,0.95,5
excessive_alcohol_consumption,risk_factor_of,dementia,0.95,1
education,risk_factor_of,dementia,0.94,2
diabetes,risk_factor_of,dementia,0.94,1
low_socioeconomic_status,risk_factor_of,dementia,0.94,6
major_risk_factor,risk_factor_of,dementia,0.94,5
heart_problems,risk_factor_of,dementia,0.94,2
racial_disparities,risk_factor_of,dementia,0.94,6
restrictive_lung_function,risk_factor_of,dementia,0.94,2
employment,risk_factor_of,dementia,0.93,6
potentially_modifiable_risk_factors,risk_factor_of,dementia,0.93,5
heart_attack,risk_factor_of,dementia,0.93,2
modifiable_factors,risk_factor_of,dementia,0.93,5
body_mass_index,risk_factor_of,dementia,0.93,2
particularly_stable_risk_factors,risk_factor_of,dementia,0.93,5
physical_inactivity,risk_factor_of,dementia,0.93,1
occupation,risk_factor_of,dementia,0.93,6
apolipoprotein_a,risk_factor_of,dementia,0.93,2
stable_risk_factors,risk_factor_of,dementia,0.93,5
diabetes_mellitus,risk_factor_of,dementia,0.93,2
cisgender_men,risk_factor_of,dementia,0.92,7
modifiable_risk_factors,risk_factor_of,dementia,0.92,5
alcohol_consumption,risk_factor_of,dementia,0.92,2
cumulative_educational_attainment,risk_factor_of,dementia,0.92,2
dementia_risk_factor_interaction,risk_factor_of,dementia,0.92,5
genetics,risk_factor_of,dementia,0.92,7
same_risks,risk_factor_of,dementia,0.92,5
smoking_status,risk_factor_of,dementia,0.92,2
poor_diet,risk_factor_of,dementia,0.92,6
important_risk_factors,risk_factor_of,dementia,0.92,5
stroke,risk_factor_of,dementia,0.92,2
alcohol,risk_factor_of,dementia,0.91,2
family_history_of_dementia,risk_factor_of,dementia,0.91,7
risk_factors_for_dementia,risk_factor_of,dementia,0.91,5
ultra-processed_foods,risk_factor_of,dementia,0.91,6
medical_history,risk_factor_of,dementia,0.91,7
neuropsychiatric_conditions,risk_factor_of,dementia,0.91,2
age_at_dementia_onset,risk_factor_of,dementia,0.91,7
cardiovascular_risk_factors,risk_factor_of,dementia,0.91,2
depressive_symptoms,risk_factor_of,dementia,0.91,2
strokes,risk_factor_of,dementia,0.91,2
genotypes,risk_factor_of,dementia,0.91,7
specific_risk_factor,risk_factor_of,dementia,0.91,5
household_income,risk_factor_of,dementia,0.91,6
relative_risk,risk_factor_of,dementia,0.91,5
excessive_or_harmful_alcohol_use,risk_factor_of,dementia,0.9,2
risk_factors_of_dementia,risk_factor_of,dementia,0.9,5
specific_modifiable_risk_factors,risk_factor_of,dementia,0.9,5
early_cognitive_changes,risk_factor_of,dementia,0.9,7
social_determinant,risk_factor_of,dementia,0.9,2
ten_risk_factors,risk_factor_of,dementia,0.9,5
low_ses,risk_factor_of,dementia,0.9,6
limited_mobility,risk_factor_of,dementia,0.9,6
hand_grip_strength,risk_factor_of,dementia,0.9,6
higher_dementia_genetic_risk,risk_factor_of,dementia,0.9,5
race,risk_factor_of,dementia,0.9,7
higher_risk_of_developing_dementia,risk_factor_of,dementia,0.9,5
older_age,risk_factor_of,dementia,0.9,7
immediate_high_risk_of_dementia_risk,risk_factor_of,dementia,0.9,5
immediate_high_risk,risk_factor_of,dementia,0.9,5
high_blood_pressure,risk_factor_of,dementia,0.9,2
lifestyle-related,risk_factor_of,dementia,0.89,2
geographical_differences,risk_factor_of,dementia,0.89,6
systolic_blood_pressure,risk_factor_of,dementia,0.89,2
residence,risk_factor_of,dementia,0.89,6
socioeconomic,risk_factor_of,dementia,0.89,6
bmi,risk_factor_of,dementia,0.89,2
physical_activity,risk_factor_of,dementia,0.89,2
stress-related_disorder,risk_factor_of,dementia,0.89,6
alcohol_intake_status,risk_factor_of,dementia,0.88,2
predictors,risk_factor_of,dementia,0.88,4
those_at_risk_for_dementia,risk_factor_of,dementia,0.88,5
disease_susceptibility,risk_factor_of,dementia,0.88,2
high_risk,risk_factor_of,dementia,0.88,5
lifestyle,risk_factor_of,dementia,0.88,2
diseases,risk_factor_of,dementia,0.88,2
social_determinants_of_health,risk_factor_of,dementia,0.88,6
lifestyles,risk_factor_of,dementia,0.88,2
osa,risk_factor_of,dementia,0.87,6
nine_risk_factors,risk_factor_of,dementia,0.87,5
low_cognitive_function,risk_factor_of,dementia,0.87,2
history_of_stroke,risk_factor_of,dementia,0.87,2
risk_factors_for_the_disease,risk_factor_of,dementia,0.87,5
serum_hdl_cholesterol,risk_factor_of,dementia,0.87,2
addiction_to_drugs,risk_factor_of,dementia,0.87,6
poor_psychiatric_state,risk_factor_of,dementia,0.87,2
lifestyle_groups,risk_factor_of,dementia,0.87,2
environmental_experiences,risk_factor_of,dementia,0.87,6
lack_of_social_health,risk_factor_of,dementia,0.87,2
"modifiable_dementia_risk_factors,_considering_the_influence_of_sex",risk_factor_of,dementia,0.87,5
each_risk_factor,risk_factor_of,dementia,0.87,5
stressful_life_events,risk_factor_of,dementia,0.87,6
pifs,risk_factor_of,dementia,0.87,2
frailty,risk_factor_of,dementia,0.87,2
need_for_financial_or_medical_assistance,risk_factor_of,dementia,0.86,3
other_health-related_risk_factors,risk_factor_of,dementia,0.86,5
other_cognitively_stimulating_activities,risk_factor_of,dementia,0.86,2
female_sex,risk_factor_of,dementia,0.86,7
high_prs,risk_factor_of,dementia,0.86,7
cognitive_changes,risk_factor_of,dementia,0.86,2
dementia_risk_factors,risk_factor_of,dementia,0.86,5
ses,risk_factor_of,dementia,0.86,6
higher_risk_for_dementia,risk_factor_of,dementia,0.86,5
previously_known_risk_factors,risk_factor_of,dementia,0.86,5
selfreported_racial_background,risk_factor_of,dementia,0.86,4
few_years_of_education,risk_factor_of,dementia,0.86,2
able_to_confide,risk_factor_of,dementia,0.86,4
insufficient_care,risk_factor_of,dementia,0.86,4
increased_alcohol_consumption,risk_factor_of,dementia,0.86,2
midlife_hearing_loss,risk_factor_of,dementia,0.86,2
health-related_confounders,risk_factor_of,dementia,0.86,2
high_dementia_risk,risk_factor_of,dementia,0.86,5
exposures,risk_factor_of,dementia,0.86,4
pregnancy,risk_factor_of,dementia,0.86,4
established_risk_factors,risk_factor_of,dementia,0.86,5
higher_risk,risk_factor_of,dementia,0.86,5
risk_factor_variables,risk_factor_of,dementia,0.86,5
other_health_conditions,risk_factor_of,dementia,0.86,4
cultural,risk_factor_of,dementia,0.86,4
health-related_risk_factors,risk_factor_of,dementia,0.86,5
lung_function_impairment,risk_factor_of,dementia,0.86,2
total_household_income_and_health_insurance,risk_factor_of,dementia,0.85,3
genetic_risk,risk_factor_of,dementia,0.85,7
dementia_risk,risk_factor_of,dementia,0.85,5
healthcare_accessibility,risk_factor_of,dementia,0.85,6
related_factors,risk_factor_of,dementia,0.85,4
racial_bias,risk_factor_of,dementia,0.85,6
normal_spirometry,risk_factor_of,dementia,0.85,2
income,risk_factor_of,dementia,0.85,6
use_of_proton-pump_inhibitors,risk_factor_of,dementia,0.85,6
diagnoses,risk_factor_of,dementia,0.85,2
potentially_modifiable_risks,risk_factor_of,dementia,0.85,5
compulsory_factors,risk_factor_of,dementia,0.85,4
socioeconomic_differences,risk_factor_of,dementia,0.85,6
various_lifestyle_factors,risk_factor_of,dementia,0.85,4
use_of_proton-pump_inhibitors_or_benzodiazepines,risk_factor_of,dementia,0.85,6
specific_psychosocial_patterns,risk_factor_of,dementia,0.84,6
abstinence,risk_factor_of,dementia,0.84,2
feelings_of_loneliness,risk_factor_of,dementia,0.84,2
excessive_consumption,risk_factor_of,dementia,0.84,4
inactivity,risk_factor_of,dementia,0.84,2
light_to_moderate_alcohol_consumption,risk_factor_of,dementia,0.84,4
medication,risk_factor_of,dementia,0.84,2
tobacco_smoking,risk_factor_of,dementia,0.84,2
biomedical,risk_factor_of,dementia,0.84,4
education_levels,risk_factor_of,dementia,0.84,2
"able_to_confide,_hand_grip_strength",risk_factor_of,dementia,0.83,3
six_risk_factors,risk_factor_of,dementia,0.83,5
body_fat_percentage,risk_factor_of,dementia,0.83,2
new_risk_factors,risk_factor_of,dementia,0.83,5
alcohol_drinking,risk_factor_of,dementia,0.83,2
comorbidities,risk_factor_of,dementia,0.83,2
environmental_risk_factor,risk_factor_of,dementia,0.83,5
competing_risk,risk_factor_of,dementia,0.83,5
physical,risk_factor_of,dementia,0.83,4
prior_alcohol_consumption,risk_factor_of,dementia,0.83,2
high_risk_of_dementia,risk_factor_of,dementia,0.83,5
mid-life_risk_of_dementia,risk_factor_of,dementia,0.83,5
low_educational_attainment,risk_factor_of,dementia,0.83,2
economic,risk_factor_of,dementia,0.83,4
additional_cognitive_domain,risk_factor_of,dementia,0.83,4
modifiable_risk,risk_factor_of,dementia,0.83,5
long-term_morbidities,risk_factor_of,dementia,0.83,2
paf,risk_factor_of,dementia,0.83,2
traumatic_experiences,risk_factor_of,dementia,0.83,2
menopause,risk_factor_of,dementia,0.82,6
non-exposed,risk_factor_of,dementia,0.82,4
other_factors,risk_factor_of,dementia,0.82,4
intermediate,risk_factor_of,dementia,0.82,4
new-onset_dementia_risk_factors,risk_factor_of,dementia,0.82,5
disparities,risk_factor_of,dementia,0.82,4
nfl,risk_factor_of,dementia,0.82,2
hypothesized_factors,risk_factor_of,dementia,0.82,4
"age,_sex",risk_factor_of,dementia,0.82,7
seven_modifiable_risk_factors,risk_factor_of,dementia,0.82,5
cultural_factors,risk_factor_of,dementia,0.82,6
other_compulsory_factors,risk_factor_of,dementia,0.82,4
serum_total_cholesterol,risk_factor_of,dementia,0.82,2
allelic_status,risk_factor_of,dementia,0.82,7
less_comorbidities,risk_factor_of,dementia,0.82,4
slow_walking_speed,risk_factor_of,dementia,0.82,2
healthy_lifestyle,risk_factor_of,dementia,0.82,4
main_risk_factor,risk_factor_of,dementia,0.82,5
low_physical_activity,risk_factor_of,dementia,0.82,2
reproductive,risk_factor_of,dementia,0.82,4
alcohol_intake,risk_factor_of,dementia,0.82,2
cognitively_stimulating_activities,risk_factor_of,dementia,0.81,6
female,risk_factor_of,dementia,0.81,7
psychosocial_adversity,risk_factor_of,dementia,0.81,6
unhealthy_lifestyle,risk_factor_of,dementia,0.81,2
cardiovascular_disease,risk_factor_of,dementia,0.81,2
gfap,risk_factor_of,dementia,0.81,2
prs,risk_factor_of,dementia,0.81,7
associated_with,risk_factor_of,dementia,0.81,4
psychosocial_state,risk_factor_of,dementia,0.81,6
systemic_racial_bias,risk_factor_of,dementia,0.81,6
known_or_suspected_osa,risk_factor_of,dementia,0.81,6
sleep_disturbances,risk_factor_of,dementia,0.81,6
multiple_risk_factors,risk_factor_of,dementia,0.81,5
social_isolation_was_higher_in_men,risk_factor_of,dementia,0.81,2
poor_sleep_health,risk_factor_of,dementia,0.81,6
higher_peripheral_gfap,risk_factor_of,dementia,0.81,2
ethnic,risk_factor_of,dementia,0.81,7
confounders,risk_factor_of,dementia,0.8,2
modifiable_risk_factor,risk_factor_of,dementia,0.8,5
risk_factor_modification,risk_factor_of,dementia,0.8,5
depressive_states,risk_factor_of,dementia,0.8,2
stress,risk_factor_of,dementia,0.8,6
healthier,risk_factor_of,dementia,0.8,4
educational_attainment,risk_factor_of,dementia,0.8,2
living_alone,risk_factor_of,dementia,0.8,2
different_genetic_risks,risk_factor_of,dementia,0.8,7
educational,risk_factor_of,dementia,0.8,2
race/ethnicity,risk_factor_of,dementia,0.8,7
extremely_poor_psychological_state,risk_factor_of,dementia,0.8,2
health_conditions,risk_factor_of,dementia,0.8,2
high_genetic_risk,risk_factor_of,dementia,0.8,7
early-life_sociological_and_developmental_factors,risk_factor_of,dementia,0.8,6
racial,risk_factor_of,dementia,0.79,7
ethnicity,risk_factor_of,dementia,0.79,7
more_often_female,risk_factor_of,dementia,0.79,7
genetic_risks,risk_factor_of,dementia,0.79,7
diet_variation,risk_factor_of,dementia,0.79,6
main_adulthood_occupation,risk_factor_of,dementia,0.79,6
systemic_racial_bias_in_healthcare,risk_factor_of,dementia,0.79,6
exercise,risk_factor_of,dementia,0.79,2
essential_modifiable_risk_factor,risk_factor_of,dementia,0.79,5
use,risk_factor_of,dementia,0.79,4
contribution,risk_factor_of,dementia,0.79,4
these_risk_factors,risk_factor_of,dementia,0.79,5
financial_or_medical_assistance,risk_factor_of,dementia,0.79,3
risk_reduction,risk_factor_of,dementia,0.79,4
ppi_use,risk_factor_of,dementia,0.79,6
collective_modifiable_factors,risk_factor_of,dementia,0.78,5
risk_of,risk_factor_of,dementia,0.78,5
schooling,risk_factor_of,dementia,0.78,2
dementia_subtypes,risk_factor_of,dementia,0.78,5
long-term_dependence,risk_factor_of,dementia,0.78,2
key_factors,risk_factor_of,dementia,0.78,4
diagnoses_of_arterial_hypertension,risk_factor_of,dementia,0.78,2
use_of_antihypertensive_agents,risk_factor_of,dementia,0.78,6
alzheimer_s_disease,risk_factor_of,dementia,0.78,5
socio-demographic,risk_factor_of,dementia,0.78,2
risk_profiles,risk_factor_of,dementia,0.78,5
peaking_expiratory_flow,risk_factor_of,dementia,0.78,2
modifiable_dementia_risk,risk_factor_of,dementia,0.78,5
potentially_mrfs,risk_factor_of,dementia,0.78,5
potential_contributor,risk_factor_of,dementia,0.78,4
language,risk_factor_of,dementia,0.78,2
higher_risk_of_dementia,risk_factor_of,dementia,0.78,5
mrf_paf,risk_factor_of,dementia,0.78,2
social_systems,risk_factor_of,dementia,0.78,6
socioeconomic_status,risk_factor_of,dementia,0.78,6
mci,risk_factor_of,dementia,0.78,2
variables_reflecting_aging,risk_factor_of,dementia,0.78,4
cachaça,risk_factor_of,dementia,0.78,4
social_support,risk_factor_of,dementia,0.78,2
nine_risk_factors_for_dementia,risk_factor_of,dementia,0.78,5
environment,risk_factor_of,dementia,0.78,2
different_hypothesized_factors,risk_factor_of,dementia,0.78,5
higher_intake_of_alcohol_and_dementia,risk_factor_of,dementia,0.78,2
short_education_years,risk_factor_of,dementia,0.78,2
psychosocial_patterns,risk_factor_of,dementia,0.78,6
psychosocial_factors,risk_factor_of,dementia,0.78,6
age_at_diagnosis,risk_factor_of,dementia,0.78,6
exhaustion,risk_factor_of,dementia,0.78,6
first_dementia_diagnosis,risk_factor_of,dementia,0.78,6
physical_exercise,risk_factor_of,dementia,0.78,2
risk_factor_exposure,risk_factor_of,dementia,0.77,5
risk_determinants,risk_factor_of,dementia,0.77,5
risk_of_dementia,risk_factor_of,dementia,0.77,5
common_risk_factors,risk_factor_of,dementia,0.77,5
limited_education,risk_factor_of,dementia,0.77,2
non-frailty,risk_factor_of,dementia,0.77,4
elevated_risk,risk_factor_of,dementia,0.77,5
socioeconomic_deprivation,risk_factor_of,dementia,0.77,6
associated_risks,risk_factor_of,dementia,0.77,5
competing_risk_of_death,risk_factor_of,dementia,0.77,5
sociological_and_developmental_factors,risk_factor_of,dementia,0.77,6
aβ-amyloid_plaques,risk_factor_of,dementia,0.77,7
pathologic_tau,risk_factor_of,dementia,0.77,7
higher_peripheral_gfap_and_nfl_levels,risk_factor_of,dementia,0.77,2
frequency_of_garden_work,risk_factor_of,dementia,0.77,2
unpaid,risk_factor_of,dementia,0.77,4
elevated_gfap,risk_factor_of,dementia,0.77,2
having_few_years_of_education,risk_factor_of,dementia,0.77,2
prefrailty,risk_factor_of,dementia,0.76,2
low_social_contact,risk_factor_of,dementia,0.76,2
dementia_modifiable_risk_factors,risk_factor_of,dementia,0.76,5
potential_augmentation,risk_factor_of,dementia,0.76,4
genetic_factors,risk_factor_of,dementia,0.76,7
sociocultural,risk_factor_of,dementia,0.76,6
risk_for_conversion_to_dementia,risk_factor_of,dementia,0.76,5
mrfs,risk_factor_of,dementia,0.76,5
abstention,risk_factor_of,dementia,0.76,4
developmental_factors,risk_factor_of,dementia,0.76,5
most_at_risk,risk_factor_of,dementia,0.76,5
excessive_consumption_or_abstention,risk_factor_of,dementia,0.76,3
all_six_risk_factors,risk_factor_of,dementia,0.76,5
use_of_medications,risk_factor_of,dementia,0.75,4
each_factor,risk_factor_of,dementia,0.75,4
geopolitical,risk_factor_of,dementia,0.75,6
"diabetes,_and_social_isolation_was_higher_in_men",risk_factor_of,dementia,0.75,3
distinct_psychosocial_patterns,risk_factor_of,dementia,0.75,6
low_education_levels,risk_factor_of,dementia,0.75,2
date_of_first_dementia_diagnosis,risk_factor_of,dementia,0.75,6
emerging_potential_contributor,risk_factor_of,dementia,0.75,4
environmental_experiences_and_exposures,risk_factor_of,dementia,0.75,6
greater_social_connections,risk_factor_of,dementia,0.75,2
time_to_diagnosis,risk_factor_of,dementia,0.75,6
risk_genes,risk_factor_of,dementia,0.75,7
gender-adjusted,risk_factor_of,dementia,0.75,7
unmeasured_factors,risk_factor_of,dementia,0.75,5
higher_bmi,risk_factor_of,dementia,0.75,2
probable_dementia,risk_factor_of,dementia,0.75,5
modifiable_risk_factors_for_dementia,risk_factor_of,dementia,0.75,5
alcohol_levels,risk_factor_of,dementia,0.75,2
socioeconomic_state,risk_factor_of,dementia,0.75,6
inherited_risk_genes,risk_factor_of,dementia,0.74,7
other_risk_factors,risk_factor_of,dementia,0.74,5
socially_isolated,risk_factor_of,dementia,0.74,2
high_ses,risk_factor_of,dementia,0.74,4
apolipoprotein_e_allele,risk_factor_of,dementia,0.74,2
low_social_contact_or_socioeconomic_state,risk_factor_of,dementia,0.74,6
cumulative_use,risk_factor_of,dementia,0.74,4
dementia_genetic_predisposition,risk_factor_of,dementia,0.74,7
frequently_overlooked_risk_factor,risk_factor_of,dementia,0.74,5
low-,risk_factor_of,dementia,0.74,4
disparities_in_dementia_risk,risk_factor_of,dementia,0.74,5
lipid-modifying_agents,risk_factor_of,dementia,0.73,2
disparities_in_social_determinants_of_health,risk_factor_of,dementia,0.73,6
median_age,risk_factor_of,dementia,0.73,7
social_connections,risk_factor_of,dementia,0.73,2
increased_risks,risk_factor_of,dementia,0.73,5
garden_work,risk_factor_of,dementia,0.73,2
rfs,risk_factor_of,dementia,0.73,5
area-level_ses,risk_factor_of,dementia,0.73,6
exposures_of_interest,risk_factor_of,dementia,0.73,2
high-risk_groups,risk_factor_of,dementia,0.73,5
underlying_genetic_factors,risk_factor_of,dementia,0.73,7
age_on_index_date,risk_factor_of,dementia,0.73,4
greater_risk_factor_exposure,risk_factor_of,dementia,0.73,5
geopolitical_diversity,risk_factor_of,dementia,0.73,6
years_of_education,risk_factor_of,dementia,0.73,2
cognitively_stimulating_leisure_time_activities,risk_factor_of,dementia,0.73,2
pafs,risk_factor_of,dementia,0.73,2
leisure_time_physical_activity,risk_factor_of,dementia,0.73,2
